date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2018-01-29,128023.XSHE,亚太转债,530.0,96.543,95.2274,51167.79
2018-01-29,113503.XSHG,泰晶转债,500.0,102.3,101.7642,51150.0
2018-01-29,123002.XSHE,国祯转债,450.0,115.041,112.1526,51768.45
2018-01-29,128015.XSHE,久其转债,520.0,100.45,96.2419,52234.0
2018-01-29,128025.XSHE,特一转债,510.0,101.43,98.2468,51729.3
2018-01-29,128018.XSHE,时达转债,530.0,96.605,95.4268,51200.65
2018-01-29,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-29,128019.XSHE,久立转2,520.0,98.6,95.5,51272.0
2018-01-29,128014.XSHE,永东转债,490.0,105.925,105.784,51903.25
2018-01-29,113009.XSHG,广汽转债,440.0,116.6,117.2166,51304.0
2018-01-29,128026.XSHE,众兴转债,520.0,99.61,100.3858,51797.2
2018-01-29,110041.XSHG,蒙电转债,500.0,103.33,100.5082,51665.0
2018-01-29,113017.XSHG,吉视转债,510.0,104.01,98.08,53045.1
2018-01-29,128027.XSHE,崇达转债,490.0,106.0,106.6857,51940.0
2018-01-29,128032.XSHE,双环转债,510.0,101.666,101.666,51849.66
2018-01-29,123004.XSHE,铁汉转债,500.0,103.82,103.82,51910.0
2018-01-29,123007.XSHE,道氏转债,460.0,112.12,112.12,51575.2
2018-01-29,128033.XSHE,迪龙转债,490.0,104.0,104.0,50960.0
2018-01-29,128030.XSHE,天康转债,470.0,109.013,109.013,51236.11
2018-01-30,113016.XSHG,小康转债,520.0,99.21,99.976,51589.2
2018-01-30,128023.XSHE,亚太转债,530.0,96.173,95.2274,50971.69
2018-01-30,113503.XSHG,泰晶转债,500.0,101.82,101.7642,50910.0
2018-01-30,123002.XSHE,国祯转债,450.0,114.206,112.1526,51392.7
2018-01-30,128015.XSHE,久其转债,520.0,100.36,96.2419,52187.2
2018-01-30,128025.XSHE,特一转债,510.0,100.9,98.2468,51459.0
2018-01-30,128018.XSHE,时达转债,530.0,96.5,95.4268,51145.0
2018-01-30,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-30,128019.XSHE,久立转2,520.0,99.5,95.5,51740.0
2018-01-30,128014.XSHE,永东转债,490.0,106.5,105.784,52185.0
2018-01-30,113009.XSHG,广汽转债,440.0,116.04,117.2166,51057.6
2018-01-30,128026.XSHE,众兴转债,520.0,99.305,100.3858,51638.6
2018-01-30,110041.XSHG,蒙电转债,500.0,102.96,100.5082,51480.0
2018-01-30,113017.XSHG,吉视转债,510.0,103.36,98.08,52713.6
2018-01-30,128027.XSHE,崇达转债,490.0,105.5,106.6857,51695.0
2018-01-30,128032.XSHE,双环转债,510.0,101.518,101.666,51774.18
2018-01-30,123004.XSHE,铁汉转债,500.0,102.435,103.82,51217.5
2018-01-30,123007.XSHE,道氏转债,460.0,109.56,112.12,50397.6
2018-01-30,128033.XSHE,迪龙转债,490.0,102.39,104.0,50171.1
2018-01-30,128030.XSHE,天康转债,470.0,108.825,109.013,51147.75
2018-01-31,113016.XSHG,小康转债,520.0,98.93,99.976,51443.6
2018-01-31,128023.XSHE,亚太转债,530.0,95.78,95.2274,50763.4
2018-01-31,113503.XSHG,泰晶转债,500.0,101.31,101.7642,50655.0
2018-01-31,123002.XSHE,国祯转债,450.0,113.809,112.1526,51214.05
2018-01-31,128015.XSHE,久其转债,520.0,98.094,96.2419,51008.88
2018-01-31,128025.XSHE,特一转债,510.0,100.261,98.2468,51133.11
2018-01-31,128018.XSHE,时达转债,530.0,96.419,95.4268,51102.07
2018-01-31,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-31,128019.XSHE,久立转2,520.0,98.41,95.5,51173.2
2018-01-31,128014.XSHE,永东转债,490.0,105.429,105.784,51660.21
2018-01-31,113009.XSHG,广汽转债,440.0,115.41,117.2166,50780.4
2018-01-31,128026.XSHE,众兴转债,520.0,98.29,100.3858,51110.8
2018-01-31,110041.XSHG,蒙电转债,500.0,102.42,100.5082,51210.0
2018-01-31,113017.XSHG,吉视转债,510.0,101.76,98.08,51897.6
2018-01-31,128027.XSHE,崇达转债,490.0,104.3,106.6857,51107.0
2018-01-31,128032.XSHE,双环转债,510.0,101.0,101.666,51510.0
2018-01-31,123004.XSHE,铁汉转债,500.0,101.605,103.82,50802.5
2018-01-31,123007.XSHE,道氏转债,460.0,110.4,112.12,50784.0
2018-01-31,128033.XSHE,迪龙转债,490.0,100.89,104.0,49436.1
2018-01-31,128030.XSHE,天康转债,470.0,108.0,109.013,50760.0
2018-02-01,113016.XSHG,小康转债,520.0,95.5,99.976,49660.0
2018-02-01,128023.XSHE,亚太转债,530.0,95.11,95.2274,50408.3
2018-02-01,113503.XSHG,泰晶转债,500.0,99.99,101.7642,49995.0
2018-02-01,123002.XSHE,国祯转债,450.0,109.998,112.1526,49499.1
2018-02-01,128015.XSHE,久其转债,520.0,97.553,96.2419,50727.56
2018-02-01,128025.XSHE,特一转债,510.0,99.083,98.2468,50532.33
2018-02-01,128018.XSHE,时达转债,530.0,95.52,95.4268,50625.6
2018-02-01,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-02-01,128019.XSHE,久立转2,520.0,96.62,95.5,50242.4
2018-02-01,128014.XSHE,永东转债,490.0,104.78,105.784,51342.2
2018-02-01,113009.XSHG,广汽转债,440.0,109.68,117.2166,48259.2
2018-02-01,128026.XSHE,众兴转债,520.0,97.017,100.3858,50448.84
2018-02-01,110041.XSHG,蒙电转债,500.0,101.71,100.5082,50855.0
2018-02-01,113017.XSHG,吉视转债,510.0,100.18,98.08,51091.8
2018-02-01,128027.XSHE,崇达转债,490.0,101.503,106.6857,49736.47
2018-02-01,128032.XSHE,双环转债,510.0,99.36,101.666,50673.6
2018-02-01,123004.XSHE,铁汉转债,500.0,100.46,103.82,50230.0
2018-02-01,123007.XSHE,道氏转债,460.0,110.7,112.12,50922.0
2018-02-01,128033.XSHE,迪龙转债,490.0,99.01,104.0,48514.9
2018-02-01,128030.XSHE,天康转债,470.0,106.556,109.013,50081.32
2018-02-02,113016.XSHG,小康转债,520.0,95.84,99.976,49836.8
2018-02-02,128023.XSHE,亚太转债,530.0,95.39,95.2274,50556.7
2018-02-02,113503.XSHG,泰晶转债,500.0,100.37,101.7642,50185.0
2018-02-02,123002.XSHE,国祯转债,450.0,108.96,112.1526,49032.0
2018-02-02,128015.XSHE,久其转债,520.0,97.6,96.2419,50752.0
2018-02-02,128025.XSHE,特一转债,510.0,99.176,98.2468,50579.76
2018-02-02,128018.XSHE,时达转债,530.0,95.642,95.4268,50690.26
2018-02-02,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-02-02,128019.XSHE,久立转2,520.0,97.642,95.5,50773.84
2018-02-02,128014.XSHE,永东转债,490.0,103.21,105.784,50572.9
2018-02-02,113009.XSHG,广汽转债,440.0,109.76,117.2166,48294.4
2018-02-02,128026.XSHE,众兴转债,520.0,97.1,100.3858,50492.0
2018-02-02,110041.XSHG,蒙电转债,500.0,101.32,100.5082,50660.0
2018-02-02,113017.XSHG,吉视转债,510.0,100.64,98.08,51326.4
2018-02-02,128027.XSHE,崇达转债,490.0,102.002,106.6857,49980.98
2018-02-02,128032.XSHE,双环转债,510.0,100.744,101.666,51379.44
2018-02-02,123004.XSHE,铁汉转债,500.0,101.15,103.82,50575.0
2018-02-02,123007.XSHE,道氏转债,460.0,111.601,112.12,51336.46
2018-02-02,128033.XSHE,迪龙转债,490.0,99.629,104.0,48818.21
2018-02-02,128030.XSHE,天康转债,470.0,106.02,109.013,49829.4
2018-02-05,113016.XSHG,小康转债,520.0,96.86,99.976,50367.2
2018-02-05,113503.XSHG,泰晶转债,500.0,99.99,101.7642,49995.0
2018-02-05,123002.XSHE,国祯转债,470.0,107.602,111.959,50572.94
2018-02-05,128015.XSHE,久其转债,520.0,97.337,96.2419,50615.24
2018-02-05,128025.XSHE,特一转债,510.0,99.283,98.2468,50634.33
2018-02-05,128018.XSHE,时达转债,530.0,95.382,95.4268,50552.46
2018-02-05,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-02-05,128019.XSHE,久立转2,520.0,97.386,95.5,50640.72
2018-02-05,128014.XSHE,永东转债,490.0,103.51,105.784,50719.9
2018-02-05,113009.XSHG,广汽转债,450.0,112.41,117.1098,50584.5
2018-02-05,128026.XSHE,众兴转债,520.0,96.983,100.3858,50431.16
2018-02-05,110041.XSHG,蒙电转债,500.0,100.61,100.5082,50305.0
2018-02-05,113017.XSHG,吉视转债,510.0,100.1,98.08,51051.0
2018-02-05,128027.XSHE,崇达转债,490.0,103.0,106.6857,50470.0
